cleaning log files...
loading spack
loading fdapde_devel environment
Eigen library found at /home/u10656115/.spack/packages/linux-cascadelake/eigen-3.4.0-hklx4lp26fdlaepysl2vcl6zyvtf5cag
compiling...
launching executable...
n_obs_per_clust: 20
n_clust:         3
N:               10
seed:            42
create directory per output
11 1
caricati dati 
creati spazi, dist and init
distanza ck:1 i:58 vale=2.27117 , best dist:2.3332
distanza ck:2 i:58 vale=2.23193 , best dist:2.27117
distanza ck:0 i:59 vale=2.34562 , best dist:1.79769e+308
distanza ck:1 i:59 vale=2.2993 , best dist:2.34562
distanza ck:2 i:59 vale=2.25759 , best dist:2.2993
fine step assegnazione it0
ricalcolo centroidi come medi in it0
ricalcolati centroidi, fare smoot iter0
finito smoot centroidi e quindi fine iter0
membri ad iter0: 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 2 , 1 , 1 , 1 , 2 , 1 , 1 , 1 , 1 , 1 , 2 , 1 , 1 , 0 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 
step assegnazione it1
distanza ck:0 i:0 vale=2.16249 , best dist:1.79769e+308
distanza ck:1 i:0 vale=2.20717 , best dist:2.16249
distanza ck:2 i:0 vale=2.26076 , best dist:2.16249
distanza ck:0 i:1 vale=2.17118 , best dist:1.79769e+308
distanza ck:1 i:1 vale=2.22385 , best dist:2.17118
distanza ck:2 i:1 vale=2.28117 , best dist:2.17118
distanza ck:0 i:2 vale=2.18095 , best dist:1.79769e+308
distanza ck:1 i:2 vale=2.23162 , best dist:2.18095
distanza ck:2 i:2 vale=2.28974 , best dist:2.18095
distanza ck:0 i:3 vale=2.1564 , best dist:1.79769e+308
distanza ck:1 i:3 vale=2.19648 , best dist:2.1564
distanza ck:2 i:3 vale=2.25504 , best dist:2.1564
distanza ck:0 i:4 vale=2.14672 , best dist:1.79769e+308
distanza ck:1 i:4 vale=2.18748 , best dist:2.14672
distanza ck:2 i:4 vale=2.24438 , best dist:2.14672
distanza ck:0 i:5 vale=2.1481 , best dist:1.79769e+308
distanza ck:1 i:5 vale=2.19096 , best dist:2.1481
distanza ck:2 i:5 vale=2.24501 , best dist:2.1481
distanza ck:0 i:6 vale=2.15554 , best dist:1.79769e+308
distanza ck:1 i:6 vale=2.20153 , best dist:2.15554
distanza ck:2 i:6 vale=2.25943 , best dist:2.15554
distanza ck:0 i:7 vale=2.16675 , best dist:1.79769e+308
distanza ck:1 i:7 vale=2.20685 , best dist:2.16675
distanza ck:2 i:7 vale=2.2711 , best dist:2.16675
distanza ck:0 i:8 vale=2.15246 , best dist:1.79769e+308
distanza ck:1 i:8 vale=2.18894 , best dist:2.15246
distanza ck:2 i:8 vale=2.24706 , best dist:2.15246
distanza ck:0 i:9 vale=2.16345 , best dist:1.79769e+308
distanza ck:1 i:9 vale=2.20683 , best dist:2.16345
distanza ck:2 i:9 vale=2.2627 , best dist:2.16345
distanza ck:0 i:10 vale=2.14643 , best dist:1.79769e+308
distanza ck:1 i:10 vale=2.19173 , best dist:2.14643
distanza ck:2 i:10 vale=2.24478 , best dist:2.14643
distanza ck:0 i:11 vale=2.19474 , best dist:1.79769e+308
distanza ck:1 i:11 vale=2.23639 , best dist:2.19474
distanza ck:2 i:11 vale=2.29074 , best dist:2.19474
distanza ck:0 i:12 vale=2.17613 , best dist:1.79769e+308
distanza ck:1 i:12 vale=2.21935 , best dist:2.17613
distanza ck:2 i:12 vale=2.27473 , best dist:2.17613
distanza ck:0 i:13 vale=2.17193 , best dist:1.79769e+308
distanza ck:1 i:13 vale=2.21286 , best dist:2.17193
distanza ck:2 i:13 vale=2.26478 , best dist:2.17193
distanza ck:0 i:14 vale=2.1326 , best dist:1.79769e+308
distanza ck:1 i:14 vale=2.1704 , best dist:2.1326
distanza ck:2 i:14 vale=2.22307 , best dist:2.1326
distanza ck:0 i:15 vale=2.16781 , best dist:1.79769e+308
distanza ck:1 i:15 vale=2.21308 , best dist:2.16781
distanza ck:2 i:15 vale=2.2733 , best dist:2.16781
distanza ck:0 i:16 vale=2.17045 , best dist:1.79769e+308
distanza ck:1 i:16 vale=2.2162 , best dist:2.17045
distanza ck:2 i:16 vale=2.27974 , best dist:2.17045
distanza ck:0 i:17 vale=2.1491 , best dist:1.79769e+308
distanza ck:1 i:17 vale=2.18967 , best dist:2.1491
distanza ck:2 i:17 vale=2.24885 , best dist:2.1491
distanza ck:0 i:18 vale=2.14998 , best dist:1.79769e+308
distanza ck:1 i:18 vale=2.19146 , best dist:2.14998
distanza ck:2 i:18 vale=2.24263 , best dist:2.14998
distanza ck:0 i:19 vale=2.1837 , best dist:1.79769e+308
distanza ck:1 i:19 vale=2.22326 , best dist:2.1837
distanza ck:2 i:19 vale=2.27922 , best dist:2.1837
distanza ck:0 i:20 vale=2.19556 , best dist:1.79769e+308
distanza ck:1 i:20 vale=2.14748 , best dist:2.19556
distanza ck:2 i:20 vale=2.18675 , best dist:2.14748
distanza ck:0 i:21 vale=2.17455 , best dist:1.79769e+308
distanza ck:1 i:21 vale=2.12629 , best dist:2.17455
distanza ck:2 i:21 vale=2.16578 , best dist:2.12629
distanza ck:0 i:22 vale=2.22414 , best dist:1.79769e+308
distanza ck:1 i:22 vale=2.17181 , best dist:2.22414
distanza ck:2 i:22 vale=2.2082 , best dist:2.17181
distanza ck:0 i:23 vale=2.18208 , best dist:1.79769e+308
distanza ck:1 i:23 vale=2.14455 , best dist:2.18208
distanza ck:2 i:23 vale=2.14622 , best dist:2.14455
distanza ck:0 i:24 vale=2.20705 , best dist:1.79769e+308
distanza ck:1 i:24 vale=2.1564 , best dist:2.20705
distanza ck:2 i:24 vale=2.19873 , best dist:2.1564
distanza ck:0 i:25 vale=2.20092 , best dist:1.79769e+308
distanza ck:1 i:25 vale=2.15044 , best dist:2.20092
distanza ck:2 i:25 vale=2.19061 , best dist:2.15044
distanza ck:0 i:26 vale=2.17029 , best dist:1.79769e+308
distanza ck:1 i:26 vale=2.12835 , best dist:2.17029
distanza ck:2 i:26 vale=2.17402 , best dist:2.12835
distanza ck:0 i:27 vale=2.20287 , best dist:1.79769e+308
distanza ck:1 i:27 vale=2.17714 , best dist:2.20287
distanza ck:2 i:27 vale=2.17647 , best dist:2.17714
distanza ck:0 i:28 vale=2.21935 , best dist:1.79769e+308
distanza ck:1 i:28 vale=2.17648 , best dist:2.21935
distanza ck:2 i:28 vale=2.21582 , best dist:2.17648
distanza ck:0 i:29 vale=2.18461 , best dist:1.79769e+308
distanza ck:1 i:29 vale=2.13241 , best dist:2.18461
distanza ck:2 i:29 vale=2.16799 , best dist:2.13241
distanza ck:0 i:30 vale=2.22703 , best dist:1.79769e+308
distanza ck:1 i:30 vale=2.17374 , best dist:2.22703
distanza ck:2 i:30 vale=2.21344 , best dist:2.17374
distanza ck:0 i:31 vale=2.21873 , best dist:1.79769e+308
distanza ck:1 i:31 vale=2.17511 , best dist:2.21873
distanza ck:2 i:31 vale=2.2157 , best dist:2.17511
distanza ck:0 i:32 vale=2.22823 , best dist:1.79769e+308
distanza ck:1 i:32 vale=2.18426 , best dist:2.22823
distanza ck:2 i:32 vale=2.22721 , best dist:2.18426
distanza ck:0 i:33 vale=2.19766 , best dist:1.79769e+308
distanza ck:1 i:33 vale=2.1697 , best dist:2.19766
distanza ck:2 i:33 vale=2.16767 , best dist:2.1697
distanza ck:0 i:34 vale=2.17879 , best dist:1.79769e+308
distanza ck:1 i:34 vale=2.13286 , best dist:2.17879
distanza ck:2 i:34 vale=2.1745 , best dist:2.13286
distanza ck:0 i:35 vale=2.1984 , best dist:1.79769e+308
distanza ck:1 i:35 vale=2.14984 , best dist:2.1984
distanza ck:2 i:35 vale=2.18847 , best dist:2.14984
distanza ck:0 i:36 vale=2.19017 , best dist:1.79769e+308
distanza ck:1 i:36 vale=2.18835 , best dist:2.19017
distanza ck:2 i:36 vale=2.21406 , best dist:2.18835
distanza ck:0 i:37 vale=2.2265 , best dist:1.79769e+308
distanza ck:1 i:37 vale=2.18131 , best dist:2.2265
distanza ck:2 i:37 vale=2.22484 , best dist:2.18131
distanza ck:0 i:38 vale=2.23639 , best dist:1.79769e+308
distanza ck:1 i:38 vale=2.17468 , best dist:2.23639
distanza ck:2 i:38 vale=2.20358 , best dist:2.17468
distanza ck:0 i:39 vale=2.18583 , best dist:1.79769e+308
distanza ck:1 i:39 vale=2.14598 , best dist:2.18583
distanza ck:2 i:39 vale=2.19618 , best dist:2.14598
distanza ck:0 i:40 vale=2.24622 , best dist:1.79769e+308
distanza ck:1 i:40 vale=2.18479 , best dist:2.24622
distanza ck:2 i:40 vale=2.14345 , best dist:2.18479
distanza ck:0 i:41 vale=2.29285 , best dist:1.79769e+308
distanza ck:1 i:41 vale=2.22476 , best dist:2.29285
distanza ck:2 i:41 vale=2.18662 , best dist:2.22476
distanza ck:0 i:42 vale=2.27727 , best dist:1.79769e+308
distanza ck:1 i:42 vale=2.20638 , best dist:2.27727
distanza ck:2 i:42 vale=2.16223 , best dist:2.20638
distanza ck:0 i:43 vale=2.25879 , best dist:1.79769e+308
distanza ck:1 i:43 vale=2.1968 , best dist:2.25879
distanza ck:2 i:43 vale=2.15439 , best dist:2.1968
distanza ck:0 i:44 vale=2.27137 , best dist:1.79769e+308
distanza ck:1 i:44 vale=2.19964 , best dist:2.27137
distanza ck:2 i:44 vale=2.1603 , best dist:2.19964
distanza ck:0 i:45 vale=2.29028 , best dist:1.79769e+308
distanza ck:1 i:45 vale=2.22136 , best dist:2.29028
distanza ck:2 i:45 vale=2.18555 , best dist:2.22136
distanza ck:0 i:46 vale=2.26987 , best dist:1.79769e+308
distanza ck:1 i:46 vale=2.19837 , best dist:2.26987
distanza ck:2 i:46 vale=2.15702 , best dist:2.19837
distanza ck:0 i:47 vale=2.28102 , best dist:1.79769e+308
distanza ck:1 i:47 vale=2.20784 , best dist:2.28102
distanza ck:2 i:47 vale=2.16787 , best dist:2.20784
distanza ck:0 i:48 vale=2.26248 , best dist:1.79769e+308
distanza ck:1 i:48 vale=2.18815 , best dist:2.26248
distanza ck:2 i:48 vale=2.14372 , best dist:2.18815
distanza ck:0 i:49 vale=2.2497 , best dist:1.79769e+308
distanza ck:1 i:49 vale=2.18929 , best dist:2.2497
distanza ck:2 i:49 vale=2.1495 , best dist:2.18929
distanza ck:0 i:50 vale=2.26142 , best dist:1.79769e+308
distanza ck:1 i:50 vale=2.19191 , best dist:2.26142
distanza ck:2 i:50 vale=2.1527 , best dist:2.19191
distanza ck:0 i:51 vale=2.26849 , best dist:1.79769e+308
distanza ck:1 i:51 vale=2.20405 , best dist:2.26849
distanza ck:2 i:51 vale=2.16636 , best dist:2.20405
distanza ck:0 i:52 vale=2.27311 , best dist:1.79769e+308
distanza ck:1 i:52 vale=2.20558 , best dist:2.27311
distanza ck:2 i:52 vale=2.16496 , best dist:2.20558
distanza ck:0 i:53 vale=2.29021 , best dist:1.79769e+308
distanza ck:1 i:53 vale=2.22659 , best dist:2.29021
distanza ck:2 i:53 vale=2.18849 , best dist:2.22659
distanza ck:0 i:54 vale=2.26391 , best dist:1.79769e+308
distanza ck:1 i:54 vale=2.1909 , best dist:2.26391
distanza ck:2 i:54 vale=2.15215 , best dist:2.1909
distanza ck:0 i:55 vale=2.26696 , best dist:1.79769e+308
distanza ck:1 i:55 vale=2.19717 , best dist:2.26696
distanza ck:2 i:55 vale=2.1508 , best dist:2.19717
distanza ck:0 i:56 vale=2.29424 , best dist:1.79769e+308
distanza ck:1 i:56 vale=2.22177 , best dist:2.29424
distanza ck:2 i:56 vale=2.17787 , best dist:2.22177
distanza ck:0 i:57 vale=2.27645 , best dist:1.79769e+308
distanza ck:1 i:57 vale=2.20697 , best dist:2.27645
distanza ck:2 i:57 vale=2.17093 , best dist:2.20697
distanza ck:0 i:58 vale=2.25822 , best dist:1.79769e+308
distanza ck:1 i:58 vale=2.19341 , best dist:2.25822
distanza ck:2 i:58 vale=2.14836 , best dist:2.19341
distanza ck:0 i:59 vale=2.27968 , best dist:1.79769e+308
distanza ck:1 i:59 vale=2.21752 , best dist:2.27968
distanza ck:2 i:59 vale=2.17714 , best dist:2.21752
fine step assegnazione it1
ricalcolo centroidi come medi in it1
ricalcolati centroidi, fare smoot iter1
finito smoot centroidi e quindi fine iter1
membri ad iter1: 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 1 , 1 , 1 , 1 , 1 , 2 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 
step assegnazione it2
distanza ck:0 i:0 vale=2.16222 , best dist:1.79769e+308
distanza ck:1 i:0 vale=2.20575 , best dist:2.16222
distanza ck:2 i:0 vale=2.26367 , best dist:2.16222
distanza ck:0 i:1 vale=2.16998 , best dist:1.79769e+308
distanza ck:1 i:1 vale=2.22258 , best dist:2.16998
distanza ck:2 i:1 vale=2.28459 , best dist:2.16998
distanza ck:0 i:2 vale=2.17919 , best dist:1.79769e+308
distanza ck:1 i:2 vale=2.23128 , best dist:2.17919
distanza ck:2 i:2 vale=2.29301 , best dist:2.17919
distanza ck:0 i:3 vale=2.15561 , best dist:1.79769e+308
distanza ck:1 i:3 vale=2.1961 , best dist:2.15561
distanza ck:2 i:3 vale=2.25801 , best dist:2.15561
distanza ck:0 i:4 vale=2.14585 , best dist:1.79769e+308
distanza ck:1 i:4 vale=2.18641 , best dist:2.14585
distanza ck:2 i:4 vale=2.24787 , best dist:2.14585
distanza ck:0 i:5 vale=2.14711 , best dist:1.79769e+308
distanza ck:1 i:5 vale=2.19067 , best dist:2.14711
distanza ck:2 i:5 vale=2.24776 , best dist:2.14711
distanza ck:0 i:6 vale=2.15458 , best dist:1.79769e+308
distanza ck:1 i:6 vale=2.2013 , best dist:2.15458
distanza ck:2 i:6 vale=2.26213 , best dist:2.15458
distanza ck:0 i:7 vale=2.16525 , best dist:1.79769e+308
distanza ck:1 i:7 vale=2.20718 , best dist:2.16525
distanza ck:2 i:7 vale=2.27437 , best dist:2.16525
distanza ck:0 i:8 vale=2.15198 , best dist:1.79769e+308
distanza ck:1 i:8 vale=2.18894 , best dist:2.15198
distanza ck:2 i:8 vale=2.2496 , best dist:2.15198
distanza ck:0 i:9 vale=2.16167 , best dist:1.79769e+308
distanza ck:1 i:9 vale=2.20735 , best dist:2.16167
distanza ck:2 i:9 vale=2.26553 , best dist:2.16167
distanza ck:0 i:10 vale=2.14553 , best dist:1.79769e+308
distanza ck:1 i:10 vale=2.19069 , best dist:2.14553
distanza ck:2 i:10 vale=2.24789 , best dist:2.14553
distanza ck:0 i:11 vale=2.19363 , best dist:1.79769e+308
distanza ck:1 i:11 vale=2.23682 , best dist:2.19363
distanza ck:2 i:11 vale=2.29305 , best dist:2.19363
distanza ck:0 i:12 vale=2.17556 , best dist:1.79769e+308
distanza ck:1 i:12 vale=2.21797 , best dist:2.17556
distanza ck:2 i:12 vale=2.27801 , best dist:2.17556
distanza ck:0 i:13 vale=2.17113 , best dist:1.79769e+308
distanza ck:1 i:13 vale=2.21213 , best dist:2.17113
distanza ck:2 i:13 vale=2.2677 , best dist:2.17113
distanza ck:0 i:14 vale=2.13169 , best dist:1.79769e+308
distanza ck:1 i:14 vale=2.16986 , best dist:2.13169
distanza ck:2 i:14 vale=2.22612 , best dist:2.13169
distanza ck:0 i:15 vale=2.16665 , best dist:1.79769e+308
distanza ck:1 i:15 vale=2.21275 , best dist:2.16665
distanza ck:2 i:15 vale=2.27638 , best dist:2.16665
distanza ck:0 i:16 vale=2.16908 , best dist:1.79769e+308
distanza ck:1 i:16 vale=2.21642 , best dist:2.16908
distanza ck:2 i:16 vale=2.2827 , best dist:2.16908
distanza ck:0 i:17 vale=2.14739 , best dist:1.79769e+308
distanza ck:1 i:17 vale=2.19056 , best dist:2.14739
distanza ck:2 i:17 vale=2.25162 , best dist:2.14739
distanza ck:0 i:18 vale=2.14858 , best dist:1.79769e+308
distanza ck:1 i:18 vale=2.19177 , best dist:2.14858
distanza ck:2 i:18 vale=2.24519 , best dist:2.14858
distanza ck:0 i:19 vale=2.18315 , best dist:1.79769e+308
distanza ck:1 i:19 vale=2.22309 , best dist:2.18315
